,Concept(BoW)
StMichaelsChurch&StMichaelsChurch,0.06045708432793617
StMichaelsChurch&StMichaelsChurch,0.0919041708111763
StMichaelsChurch&StMichaelsChurch,0.09933067858219147
StMichaelsChurch&StMichaelsChurch,0.27789875864982605
StMichaelsChurch&StMichaelsChurch,0.05899505689740181
StMichaelsChurch&StMichaelsChurch,0.008066123351454735
StMichaelsChurch&StMichaelsChurch,0.10842052102088928
StMichaelsChurch&StMichaelsChurch,0.18936565518379211
StMichaelsChurch&StMichaelsChurch,0.2071751058101654
StMichaelsChurch&StMichaelsChurch,0.11079674959182739
StMichaelsChurch&StMichaelsChurch,0.18038709461688995
StMichaelsChurch&StMichaelsChurch,0.19924484193325043
StMichaelsChurch&StMichaelsChurch,0.25520652532577515
StMichaelsChurch&StMichaelsChurch,0.2811315059661865
StMichaelsChurch&StMichaelsChurch,0.33017200231552124
StMichaelsChurch&StMichaelsChurch,0.43390896916389465
StMichaelsChurch&StMichaelsChurch,0.057913120836019516
StMichaelsChurch&StMichaelsChurch,-0.0014517921954393387
StMichaelsChurch&StMichaelsChurch,0.05385453626513481
StMichaelsChurch&StMichaelsChurch,0.11610620468854904
StMichaelsChurch&StMichaelsChurch,0.05716228857636452
StMichaelsChurch&StMichaelsChurch,0.08543497323989868
StMichaelsChurch&StMichaelsChurch,0.06830742955207825
StMichaelsChurch&StMichaelsChurch,0.1383097767829895
StMichaelsChurch&StMichaelsChurch,0.12212838232517242
StMichaelsChurch&StMichaelsChurch,0.13563568890094757
StMichaelsChurch&StMichaelsChurch,0.16025112569332123
StMichaelsChurch&StMichaelsChurch,0.1475280523300171
StMichaelsChurch&StMichaelsChurch,0.31321972608566284
StMichaelsChurch&StMichaelsChurch,0.2663339078426361
StMichaelsChurch&StMichaelsChurch,0.3121718168258667
StMichaelsChurch&StMichaelsChurch,0.2573746144771576
StMichaelsChurch&StMichaelsChurch,-0.0007581156096421182
StMichaelsChurch&StMichaelsChurch,0.17516100406646729
StMichaelsChurch&StMichaelsChurch,0.07146987318992615
StMichaelsChurch&StMichaelsChurch,-0.02722323127090931
StMichaelsChurch&StMichaelsChurch,0.1504332572221756
StMichaelsChurch&StMichaelsChurch,0.19526682794094086
StMichaelsChurch&StMichaelsChurch,0.13282296061515808
StMichaelsChurch&StMichaelsChurch,0.14492499828338623
StMichaelsChurch&StMichaelsChurch,0.15946783125400543
StMichaelsChurch&StMichaelsChurch,0.1998942345380783
StMichaelsChurch&StMichaelsChurch,0.2085103988647461
StMichaelsChurch&StMichaelsChurch,0.23474624752998352
StMichaelsChurch&StMichaelsChurch,0.13254790008068085
StMichaelsChurch&StMichaelsChurch,0.3341202139854431
StMichaelsChurch&StMichaelsChurch,0.2880566120147705
StMichaelsChurch&StMichaelsChurch,0.12841425836086273
StMichaelsChurch&StMichaelsChurch,0.07979587465524673
StMichaelsChurch&StMichaelsChurch,0.007941106334328651
StMichaelsChurch&StMichaelsChurch,0.07895088195800781
StMichaelsChurch&StMichaelsChurch,0.08248452842235565
StMichaelsChurch&StMichaelsChurch,0.13150179386138916
StMichaelsChurch&StMichaelsChurch,0.1489606350660324
StMichaelsChurch&StMichaelsChurch,0.0472760871052742
StMichaelsChurch&StMichaelsChurch,0.10933496057987213
StMichaelsChurch&StMichaelsChurch,0.20011071860790253
StMichaelsChurch&StMichaelsChurch,0.08984260261058807
StMichaelsChurch&StMichaelsChurch,0.1595628410577774
StMichaelsChurch&StMichaelsChurch,0.23768159747123718
StMichaelsChurch&StMichaelsChurch,0.18150465190410614
StMichaelsChurch&StMichaelsChurch,0.02616642788052559
StMichaelsChurch&StMichaelsChurch,0.10573899000883102
StMichaelsChurch&StMichaelsChurch,0.4811694025993347
CanterburyCathedral&ChartresCathedral,0.3478720486164093
CanterburyCathedral&Lincolncathedral,0.5978615283966064
CanterburyCathedral&NotreDameDeParis,0.3746646046638489
ChartresCathedral&Lincolncathedral,0.3935268223285675
ChartresCathedral&NotreDameDeParis,0.5802532434463501
Lincolncathedral&NotreDameDeParis,0.4406903386116028
NotreDameDeParis&NotreDameDeParis,0.30681297183036804
NotreDameDeParis&NotreDameDeParis,0.1688738316297531
NotreDameDeParis&NotreDameDeParis,0.2406735122203827
NotreDameDeParis&NotreDameDeParis,0.3346156179904938
NotreDameDeParis&NotreDameDeParis,0.3178180754184723
NotreDameDeParis&NotreDameDeParis,0.19037748873233795
NotreDameDeParis&NotreDameDeParis,0.14630746841430664
NotreDameDeParis&NotreDameDeParis,0.27317574620246887
NotreDameDeParis&NotreDameDeParis,0.39800718426704407
NotreDameDeParis&NotreDameDeParis,0.24893894791603088
NotreDameDeParis&NotreDameDeParis,0.2203749269247055
NotreDameDeParis&NotreDameDeParis,0.336372047662735
NotreDameDeParis&NotreDameDeParis,0.5113052129745483
NotreDameDeParis&NotreDameDeParis,0.3437662422657013
NotreDameDeParis&NotreDameDeParis,0.1934586614370346
NotreDameDeParis&NotreDameDeParis,0.3917334973812103
NotreDameDeParis&NotreDameDeParis,0.2205268144607544
NotreDameDeParis&NotreDameDeParis,0.2564983367919922
NotreDameDeParis&NotreDameDeParis,0.23878943920135498
NotreDameDeParis&NotreDameDeParis,0.25680041313171387
NotreDameDeParis&NotreDameDeParis,0.30679214000701904
NotreDameDeParis&NotreDameDeParis,0.3199024796485901
NotreDameDeParis&NotreDameDeParis,0.20025470852851868
NotreDameDeParis&NotreDameDeParis,0.33528998494148254
NotreDameDeParis&NotreDameDeParis,0.23951518535614014
NotreDameDeParis&NotreDameDeParis,0.24594849348068237
NotreDameDeParis&NotreDameDeParis,0.28459689021110535
NotreDameDeParis&NotreDameDeParis,0.24258702993392944
NotreDameDeParis&NotreDameDeParis,0.30060458183288574
NotreDameDeParis&NotreDameDeParis,0.3289719521999359
NotreDameDeParis&NotreDameDeParis,0.2786772847175598
NotreDameDeParis&NotreDameDeParis,0.36473309993743896
NotreDameDeParis&NotreDameDeParis,0.16942699253559113
NotreDameDeParis&NotreDameDeParis,0.17815877497196198
NotreDameDeParis&NotreDameDeParis,0.12308454513549805
NotreDameDeParis&NotreDameDeParis,0.13959847390651703
NotreDameDeParis&NotreDameDeParis,0.039183277636766434
NotreDameDeParis&NotreDameDeParis,0.28849345445632935
NotreDameDeParis&NotreDameDeParis,0.01202036626636982
NotreDameDeParis&NotreDameDeParis,0.10635023564100266
NotreDameDeParis&NotreDameDeParis,0.18654973804950714
NotreDameDeParis&NotreDameDeParis,0.12647439539432526
NotreDameDeParis&NotreDameDeParis,0.16840653121471405
NotreDameDeParis&NotreDameDeParis,0.09125997871160507
NotreDameDeParis&NotreDameDeParis,0.1139146089553833
NotreDameDeParis&NotreDameDeParis,0.34814390540122986
NotreDameDeParis&NotreDameDeParis,0.14307047426700592
NotreDameDeParis&NotreDameDeParis,0.16897188127040863
NotreDameDeParis&NotreDameDeParis,0.15111474692821503
NotreDameDeParis&NotreDameDeParis,0.17669552564620972
NotreDameDeParis&NotreDameDeParis,0.1272331327199936
NotreDameDeParis&NotreDameDeParis,0.09062159061431885
NotreDameDeParis&NotreDameDeParis,0.1330726146697998
NotreDameDeParis&NotreDameDeParis,0.2127060443162918
NotreDameDeParis&NotreDameDeParis,0.20321930944919586
NotreDameDeParis&NotreDameDeParis,0.10518281161785126
NotreDameDeParis&NotreDameDeParis,0.2249826043844223
NotreDameDeParis&NotreDameDeParis,0.2298142910003662
NotreDameDeParis&NotreDameDeParis,0.1967841386795044
NotreDameDeParis&NotreDameDeParis,0.16195158660411835
NotreDameDeParis&NotreDameDeParis,0.2600887715816498
NotreDameDeParis&NotreDameDeParis,0.28143033385276794
NotreDameDeParis&NotreDameDeParis,0.2660633325576782
NotreDameDeParis&NotreDameDeParis,0.15782442688941956
NotreDameDeParis&NotreDameDeParis,0.07685152441263199
NotreDameDeParis&NotreDameDeParis,0.09664033353328705
NotreDameDeParis&NotreDameDeParis,0.18245843052864075
NotreDameDeParis&NotreDameDeParis,0.24476243555545807
NotreDameDeParis&NotreDameDeParis,0.06389935314655304
NotreDameDeParis&NotreDameDeParis,0.014464139007031918
NotreDameDeParis&NotreDameDeParis,0.10251525044441223
NotreDameDeParis&NotreDameDeParis,0.16833141446113586
NotreDameDeParis&NotreDameDeParis,0.11014031618833542
NotreDameDeParis&NotreDameDeParis,0.15548506379127502
NotreDameDeParis&NotreDameDeParis,0.14754867553710938
NotreDameDeParis&NotreDameDeParis,0.17469367384910583
NotreDameDeParis&NotreDameDeParis,0.11365298926830292
NotreDameDeParis&NotreDameDeParis,0.137954980134964
NotreDameDeParis&NotreDameDeParis,0.17689430713653564
NotreDameDeParis&NotreDameDeParis,0.30287253856658936
NotreDameDeParis&NotreDameDeParis,0.2676842212677002
NotreDameDeParis&NotreDameDeParis,0.13941438496112823
NotreDameDeParis&NotreDameDeParis,0.15709003806114197
NotreDameDeParis&NotreDameDeParis,0.1744903177022934
NotreDameDeParis&NotreDameDeParis,0.09503718465566635
NotreDameDeParis&NotreDameDeParis,0.10512936860322952
NotreDameDeParis&NotreDameDeParis,0.06842052191495895
NotreDameDeParis&NotreDameDeParis,0.11188214272260666
NotreDameDeParis&NotreDameDeParis,0.17786338925361633
NotreDameDeParis&NotreDameDeParis,0.07083023339509964
NotreDameDeParis&NotreDameDeParis,0.06452600657939911
NotreDameDeParis&NotreDameDeParis,0.1521836668252945
NotreDameDeParis&NotreDameDeParis,0.22910581529140472
NotreDameDeParis&NotreDameDeParis,0.13808085024356842
NotreDameDeParis&NotreDameDeParis,0.012765481136739254
NotreDameDeParis&NotreDameDeParis,0.19054538011550903
NotreDameDeParis&NotreDameDeParis,0.15698426961898804
NotreDameDeParis&NotreDameDeParis,0.253060519695282
NotreDameDeParis&NotreDameDeParis,0.11102268099784851
NotreDameDeParis&NotreDameDeParis,0.16730710864067078
NotreDameDeParis&NotreDameDeParis,0.0615849643945694
NotreDameDeParis&NotreDameDeParis,0.2046462893486023
NotreDameDeParis&NotreDameDeParis,0.08382253348827362
NotreDameDeParis&NotreDameDeParis,0.10597816109657288
NotreDameDeParis&NotreDameDeParis,0.2496795654296875
NotreDameDeParis&NotreDameDeParis,0.20910555124282837
NotreDameDeParis&NotreDameDeParis,0.07801458984613419
NotreDameDeParis&NotreDameDeParis,0.0865945965051651
NotreDameDeParis&NotreDameDeParis,0.18856488168239594
NotreDameDeParis&NotreDameDeParis,0.3249650299549103
NotreDameDeParis&NotreDameDeParis,0.1520226150751114
NotreDameDeParis&NotreDameDeParis,0.13022206723690033
NotreDameDeParis&NotreDameDeParis,0.16810187697410583
NotreDameDeParis&NotreDameDeParis,0.1764749437570572
NotreDameDeParis&NotreDameDeParis,0.06386633217334747
NotreDameDeParis&NotreDameDeParis,0.18448981642723083
NotreDameDeParis&NotreDameDeParis,0.18230211734771729
NotreDameDeParis&NotreDameDeParis,0.11324944347143173
NotreDameDeParis&NotreDameDeParis,0.15194077789783478
NotreDameDeParis&NotreDameDeParis,0.08684274554252625
NotreDameDeParis&NotreDameDeParis,0.17168663442134857
NotreDameDeParis&NotreDameDeParis,0.1278805285692215
NotreDameDeParis&NotreDameDeParis,0.09215667098760605
NotreDameDeParis&NotreDameDeParis,0.21232080459594727
NotreDameDeParis&NotreDameDeParis,0.152414470911026
NotreDameDeParis&NotreDameDeParis,0.1445392519235611
NotreDameDeParis&NotreDameDeParis,0.12127586454153061
NotreDameDeParis&NotreDameDeParis,0.20461991429328918
FlorenceCathedral&OspedaledegliInnocenti,0.48169249296188354
FlorenceCathedral&PalazzoMediciRiccardi,0.3713025748729706
FlorenceCathedral&SantaMariadellaPace,0.5872294306755066
OspedaledegliInnocenti&PalazzoMediciRiccardi,0.440112829208374
OspedaledegliInnocenti&SantaMariadellaPace,0.44042661786079407
PalazzoMediciRiccardi&SantaMariadellaPace,0.5032042264938354
SantaMariadellaPace&SantaMariadellaPace,0.22981858253479004
