,Style_1,Style_2,External(SSIM),External(MSE),Internal(SSIM),Internal(MSE),Plan(SSIM),Plan(MSE),Concept(Text),Topology,External(VGG16),Internal(VGG16),Plan(VGG16),Concept(BoW),Concept(Transformer)
CasaBatllo&EinsteinTower,07_ArtNouveau,09_Expressionist,25.09457385,11.68482316,29.50825412,13.90362547,46.20111535,5.61075024,88.85956407,97,0.260574095,0.248549238,0.359246984,0.451468419,0.19998017
CasaBatllo&Goetheanum,07_ArtNouveau,09_Expressionist,28.2615164,12.26324447,27.24328138,15.5712605,50.36955818,5.640354068,78.10539007,89,0.327631969,0.277208418,0.326323181,0.310252614,0.083023407
CasaBatllo&HetSchip,07_ArtNouveau,09_Expressionist,25.78795107,12.15471149,25.85656061,9.244873522,48.19823954,5.506469086,93.50345135,69,0.316017784,0.235107437,0.324255213,0.373312586,0.33830595
CastelBeranger&Chilehaus,07_ArtNouveau,09_Expressionist,12.7783474,15.47145504,24.40811572,13.52801863,36.33819187,5.067948094,94.98856664,157,0.313212052,0.272474304,0.406324387,0.605392139,0.407910287
CastelBeranger&EinsteinTower,07_ArtNouveau,09_Expressionist,14.80404359,12.34659725,29.23309206,13.44361683,27.55299485,5.144864336,79.22526598,138,0.308511898,0.229520861,0.428483297,0.61729086,0.24501811
CastelBeranger&Goetheanum,07_ArtNouveau,09_Expressionist,14.44703,14.37084471,28.86075677,13.04000917,33.2028446,5.501346918,80.63642979,126,0.355445161,0.25046175,0.368152673,0.538145474,0.1882907
CastelBeranger&HetSchip,07_ArtNouveau,09_Expressionist,11.17409982,8.59097028,27.61793569,12.4211561,34.38092174,4.991389044,93.99122,116,0.298904516,0.226037186,0.373648524,0.525577726,0.396192878
HotelTassel&Chilehaus,07_ArtNouveau,09_Expressionist,25.86899923,10.17008397,22.06626114,15.0040017,53.81778396,6.129310087,95.73239088,160,0.298591256,0.31842301,0.42828463,0.5025728,0.335371196
HotelTassel&EinsteinTower,07_ArtNouveau,09_Expressionist,26.77893358,10.73992034,30.81395947,10.4484603,46.05578057,6.947874139,89.33508992,37,0.263704434,0.315959904,0.414683829,0.440282888,0.271518707
HotelTassel&Goetheanum,07_ArtNouveau,09_Expressionist,31.41501644,10.3715265,30.60831562,10.33265358,50.17870029,6.862734263,77.52557397,59,0.333505675,0.271833472,0.361859014,0.339416797,0.209209323
HotelTassel&HetSchip,07_ArtNouveau,09_Expressionist,27.66414449,10.58435234,26.79941733,13.6144513,45.10054743,6.506381421,94.6888566,49,0.322674602,0.31786152,0.447446078,0.385964687,0.482826352
SecessionBulding&Chilehaus,07_ArtNouveau,09_Expressionist,29.22008424,15.31459427,24.5186718,13.22217484,56.49327922,4.692560521,93.72608662,160,0.329923652,0.323371232,0.435764395,0.519241882,0.453192085
